Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Burkina Faso,BFA,..,4.84836847,6.03235223,6.67106532,4.69605901,6.38293239,7.77367125,7.15265241,11.03410287,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Burundi,BDI,..,5.94454002,4.86066377,7.48640972,7.11028178,4.43170149,8.0021268,9.11259858,8.52141439,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Cabo Verde,CPV,..,7.50158803,7.2294319,8.60780229,8.88209407,9.04792938,10.00480189,11.40746318,9.88730598,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Cambodia,KHM,..,8.59173587,6.84807179,6.51034178,6.79131717,6.86243848,5.90444555,6.58201061,6.15908712,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Cameroon,CMR,..,4.42626924,5.08816287,6.01274281,3.71661818,3.20723827,2.55983769,3.25142147,2.95460297,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Canada,CAN,..,14.81775381,17.86125977,18.09856895,18.39229771,18.59368455,19.06148615,19.16150003,19.01953879,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Central African Republic,CAF,..,11.24215862,6.01461132,5.47708547,6.18079121,4.50376561,7.17292267,4.30345714,5.06144144,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Chad,TCD,..,11.31090628,3.49750298,3.74397154,2.79744718,8.22959981,5.66403303,5.82356431,5.89814935,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Chile,CHL,..,16.32281788,17.14454771,17.66720329,18.2409886,19.16512317,19.3787386,19.60295192,19.73678604,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,China,CHN,..,6.08984078,8.75092192,8.60284997,9.03729377,9.41684219,9.62653912,9.39327664,9.05126487,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Colombia,COL,..,16.22384196,14.99614854,14.07592183,13.89139641,13.15078879,12.63141252,12.82636589,13.36699319,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Comoros,COM,..,9.73438702,3.48231618,7.51401504,3.43845671,3.80284272,3.80282826,3.80730506,3.62948413,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,"Congo, Dem. Rep.",COD,..,2.51171991,2.51171991,2.54858842,3.90575258,3.9317777,2.97944373,3.95185422,3.72612276,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,"Congo, Rep.",COG,..,2.27290342,4.19044145,2.64144026,3.01379264,2.3959296,2.13474513,2.92542493,3.91927051,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Costa Rica,CRI,..,25.56906414,32.08561674,33.12447554,31.69281582,29.54969285,29.31582726,29.9448978,29.18765306,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Cote d'Ivoire,CIV,..,4.54916111,4.05365741,4.5749402,4.75635463,5.04938971,4.1435812,5.03537889,4.87986473,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Croatia,HRV,..,14.61020385,14.30359999,13.2522644,13.6132373,11.64149323,11.70245019,11.68141301,11.96904586,..,..,..
