Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,199.986342315353,156.385718599912,478.668589704525,534.951264721663,391.561832360636,348.430269640572,371.269749625713,380.597033140938,315.777326372575,356.717573153369,389.398033178836,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,2441.74199054895,4043.66205143391,9040.56625117172,10399.372753345,10817.4428742856,10970.1232849014,11319.0797572756,9799.36753137135,9671.02471707407,10117.569032569,11238.9573725301,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,963.841785800205,2234.57986558466,7076.66242320238,7291.42764039704,7265.61365556669,7928.45736514824,8499.36576172668,9033.3904129872,9282.72355273961,9801.62454193575,10223.6364890278,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,317.389306906928,269.871137691703,709.581964584771,836.509809417356,778.669462492053,805.259668494187,847.150266858533,751.170496562966,779.874933008414,828.613220238384,901.403100689224,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,7191.92360259617,11039.0565074511,21087.7946931036,22823.4431054898,21931.7476232751,23830.9370579095,25961.3278775346,24046.2753502958,25128.9373782665,27241.0906440045,30074.7411850959,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,1660.12988936134,2185.8353200796,2926.74839442217,3064.87237091153,3265.52003808382,3351.02743334855,3202.59710732961,3128.4997997876,3368.80401835975,3516.7143201626,3621.17409480766,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,501.193398405245,491.842761081949,1241.42875580126,1435.6354154142,1411.35283025415,1477.36153924563,1366.80896155962,1194.31251537905,1135.55864615868,1161.78545671604,1218.59640995207,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,2506.17931226708,3929.07549349379,8000.37643182154,9197.02697152061,9291.22761861899,9637.00265000958,10153.9382184867,9260.44730250635,9681.61856689674,10484.9083620411,11238.6903948961,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,3112.26870598472,7157.81449985734,9271.39823324639,10203.4208543113,10241.7279153745,10725.1833166036,10922.3760488647,9605.95235103139,8739.14247139677,9281.10148290743,9698.0841865066,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,1528.54072128015,2171.52660099439,2881.37614054863,3001.47027549541,3120.66962662431,2983.59798349791,2959.62064665041,2894.34501124937,2993.20056253686,3018.39689930827,3058.43181818182,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,..,354.003798172847,1958.13369717991,2363.59374904742,2446.7253157714,2668.68303171369,2674.11633164002,2179.23362495857,2272.40570707297,2724.49309280928,3189.35581212262,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,84289.5595438943,82367.9912769359,150585.448911112,168785.940809485,157515.899069445,177593.351895053,189170.895671097,165920.223639409,169904.18209586,166726.051925682,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,1172.4430658221,474.216896516578,2643.29291416763,3757.5586328813,4351.8869200565,4366.07590145025,4158.52571473091,3918.57917389554,3660.15074616061,3671.94841892492,4103.69749259392,..
